운전 배우다 원하다|운전교육 신청하러 오셨어요?
제주도 여행 구경 사람들 흰색 빨간색 목마 등대 보다 위하다 방문|흰색과 빨간색의 목마 등대를 보기 위해 제주도에 오는 많은 관광객들이 이호테우 해변을 방문합니다.
아침미소 목장|아침미소목장
동물 친하다 주다 받다 가능 곳|동물과 교감할 수 있는 목장
젖소 송아지 먹다 주다 또 아이스크림 치즈 직접 만들다 체험 가능 곳|젖소와 송아지에게 먹이도 주고, 아이스크림과 치즈를 직접 만들어 볼 수 있는 체험 가득한 목장입니다.
도시 곳 체험 못하다 목장 곳 체험 배우다 생명 소중하다 깨닫다 또 동물 직접 만지다 즐기다|초록이 가득한 목장에서 도시에서 느껴볼 수 없었던 체험을 통해 생명의 소중함을 배우고 동물들의 체온을 직접 느껴봐요.
차 돕다 타다 가다|픽업 및 이동
제주 국제 공항 곳 차 돕다 타다|제주 국제 공항에서 픽업
점심 식사|점심식사
1시간 아마|1시간 소요 예정
여행 지역 곳 방식 식사|현지식 식사
넥슨 컴퓨터 박물관|넥슨 컴퓨터 박물관
1시간 30분|1시간 30분 소요 예정
박물관 컴퓨터 게임 역사 같다 다양 체험 구경 가능|컴퓨터와 게임의 역사를 함께 다양한 체험을 할 수 있는 박물관 관람
신기하다 도로|신비의 도로
15분 아마|15분 소요 예정
신기하다 도로 체험|신비의 도로 체험해보기
천지연 폭포|천지연 폭포
50분 아마|50분 소요 예정
천지연 폭포 제주도 3대 유명 폭포 구경|제주도 3대 폭포 중 하나인 천지연 폭포 관람
저녁 식사|저녁 식사
1시간 아마|1시간 소요 예정
여행 지역 곳 방식 식사|현지식 식사
숙소 곳 출발|숙소로 이동
방 승인 확인 이후 휴식|체크인 후 휴식
2일차|2일차
아침 식사|아침 식사
오전 8:15분 아마|오전 8:15분 예정
호텔 조식 식사|호텔 조식 식사
송악산 둘레길|송악산 둘레길
1시간 아마|1시간 소요 예정
구경 바다 멋있다 송악산 바다 옆 길 10 곳 걷다|올레길 10코스인 해안절경이 아름다운 송악산 산책
오설록 이니스프리 비누 만들다 체험|오설록 이니스프리 비누 만들기 체험
1시간 30분 아마|1시간 30분 소요 예정
나 마음 들다 그대로 직접 만들다 비누|천연 비누를 나만의 스타일로 만들어보기
점심 식사|점심 식사
1시간 아마|1시간 소요 예정
여행 지역 곳 방식 식사|현지식 식사
협재 해수욕장|협재 해수욕장
1시간 아마|1시간 소요 예정
협재 곳 에메랄드 바다 즐기다|협재 해수욕장에서 에메랄드 빛 바다 즐기기
테디 베어 사파리|테디 베어 사파리
1시간 30분 아마|1시간 30분 소요 예정
세계 처음 실제 동물 모습 완전 똑같다 인형 만들다 구경|세계 최초로 실제 동물 크기로 제작된 인형 사파리 관람
저녁 식사|저녁 식사
1시간 아마|1시간 소요 예정
여행 지역 곳 방식 식사|현지식 식사
숙소 곳 출발|숙소로 이동
방 승인 확인 이후 휴식|체크인 후 휴식
3일차|3일차
아침 식사|아침 식사
오전 8:30분 아마|오전 8:30분 예정
호텔 조식 식사|호텔 조식 식사
동문 재래 시장|동문 재래 시장
1시간 아마|1시간 소요 예정
동문 재래 시장 전통 음식 먹다 많다 또 구경|전통 먹거리 식당와 볼거리가 가득한 동문 재래 시장 돌아보기
도두동무지개 해안도로|도두동무지개 해안도로
15분 아마|15분 소요 예정
색 다양 무지개 해안 도로 곳 기념 사진 찍다|알록달록한 무지개색 해안 도로에서 기념 사진 촬영
이호테우 해변|이호테우 해변
30분 아마|30분 소요 예정
흰색 빨간색 목마 등대 또 제주 바다 보기|흰색과 빨간색의 목마 등대와 제주 바다 보기
점심 식사|점심 식사
1시간 아마|1시간 소요 예정
여행 지역 곳 방식 식사|현지식 식사
아침 미소 목장|아침 미소 목장
1시간 아마|1시간 소요 예정
제주 아름답다 풍경 보다 다양 체험|제주의 아름다운 풍경을 배경으로 여러 다양한 체험하기
차 돕다 내리다  해산|드랍오프 및 해산
차 운전 안전 공항 곳 도착|공항으로 안전하게 차량 이동
안동 구경 슬기 즐기다|슬기로운 안동 나들이
한국관광공사 또 관광거점도시 중 하나 안동 지역 알다 있다?|안동이 한국관광공사가 선정한 관광거점도시 중 하나라는 사실, 알고 계셨나요?
안동 여행 우리 가족 생활 피곤 휴식 가능|우리 가족의 지친 일상에 휴식을 가져다 줄 안동여행!
하회 마을 예전 선비 모습 보다 가족 모두 여유 즐기다|옛 선비의 흔적이 고스란히 남아있는 하회마을에서 온 가족이 함께 여유를 즐겨봐요.
이름 예끼 마을 곳 전통 예술 있다 아름답다 음악 또 그림 문학 포함 보다 가능|전통&예술의 공간, ‘예끼마을’에서는 아름다운 음악과 그림, 문학이 공존하는 다채로운 이야기를 들어볼 수 있어요.
안동 문화 도시 역사 미래 포함 있다 경험 아직 지금 기회 안동 출발 부탁|역사와 미래가 공존하는 문화도시 안동의 모습. 경험해보지 못하셨다면 이번 기회에 안동으로 떠나보세요.
차 마시다 하회 마을 보다|하회마을을 내려다보며 차 한잔
차 마시다 아이 함께 어렵다 하지만 부용대 차 마시다 여유|아이와 함께하기 어려웠던 티타임, 부용대 정상에서 여류로운 차 한잔
안동 파파야 농장 구경|안동에서 만나보는 파파야 농장
보통 때 열대 과일 보다 어렵다 아이 농장 직접 체험 가능|평소에 접해보기 어려웠던 열대과일, 우리 아이들에게 생생한 농장 체험을
아이 함께 대표 구경 여행 곳 방문|대표 관광지는 아이와 함꼐 방문
아이 우리 전통 선비 문화 가르치다 또 가족 사진 찍다 가능|우리 전통 고유의 선비문화를 아이들에게 알려주고 뜻깊은 가족 사진을 남기세요.
안동 선비 모습 똑같다 걷다|선비처럼 거닐어보는 안동
안동 하회 마을|안동 하회마을
한국 어울리다 곳|가장 한국적인 곳
하회 마을 한국 아름답다 또 전통 있다 이 곳 이름 풍산 류씨 600년 동안 계속 살다 마을 곳|한국의 미와 전통이 살아 숨쉬는 하회마을은 풍산 류씨가 600여 년간 대대로 살아온 한국의 대표적인 동성 마을이며,
기와 또 지푸라기 집 역사 오래되다 보존 잘하다 곳|와가와 초가가 오랜 역사 속에서도 잘 보존된 곳이예요.
마을 이름 하회 이유 무엇? 낙동강 모습 S자 같다 마을 감싸다 모습 유래|마을 이름을 하회라고 한 것은 낙동강이 ‘S’자 모양으로 마을을 감싸 안고 흐르는 데서 유래되었다고 합니다.
땅 사람 영향 좋다 곳 때문 안동 하회 마을 조선 시대 때 부터 사람 살다 가장 좋다 곳 유명|풍수지리적으로 좋은 위치에 자리하고 있어 조선시대에서부터 사람이 살기에 가장 좋은 곳으로 유명했던
방문 좋다 힘 받아 부탁|안동의 하회마을에서 좋은 기운을 받아 가세요.
하회 세계탈 박물관|하회 세계탈 박물관
나 직접 만들다 탈|내 손으로 직접 만들어보는 나만의 탈
하회 세계 탈 박물관 곳|탈 만들기 체험을 통해 아이들 창의력도 키우고, 우리 문화와 역사에 한 발짝 더 가까워질 수 있는 일석이조 체험,
아이 직접 탈 만들다 체험 창의력 발전 또 우리 문화 역사 친밀 배우다 체험 가능|하회세계탈박물관에서 함께해요.
부용대|부용대
하회 마을 눈 보다|하회 마을을 한 눈에 담아봐요.
부용대 곳 안동 하회 마을 곳 강 건너 소나무 숲 옆 절벽 있다|안동 하회 마을에서 강을 건너 소나무 숲 옆에서 자리하고 있는 절벽, 부용대.
낙동강 흐르다 곳 옥연정사 또 겸암정사 화천서원 있다|아래로 낙동강이 굽이 쳐 흐르는 곳에 옥연정사와 겸암정사, 화천서원이 자리하고 있습니다.
정상 곳 하회 마을 전체 보다 가능 이 곳 차 마시다 여유|정상에서 하회 마을 전체를 조망할 수 있는 시원한 풍경에서 여유로운 차 한잔 즐겨보세요.
월영교 밤|월영교의 밤
안동 아름답다 곳|안동의 감성을 담은 곳
안동 밤 모습 아름답다 보다 위하다 월영교 방문|안동에서 아름다운 야경을 즐기기 위해서는 월영교를 방문해 주세요.
월영교 아름답다 모습 색 다양 음악 분수 있다|색색의 음악 분수 아름다운 모습을 자랑하는 월영교,
무엇 부부 하나 아름답다 거룩하다 사랑 기념 목적 짓다 매우 멋있다|한 부부의 아름답고 숭고한 사랑을 기념하고자 지어졌다고 하니 더욱 감성적인 모습이네요.
안동 문화 도시 모습|문화 도시 안동의 모습
월영교|월영교
안동 영향 받다 따뜻하다|안동이 가진 따뜻함
월영교 아침 방문 영향 받다 따뜻하다 느끼다 가능|월영교가 가지고 있는 따뜻한 온기는 아침에만 느낄 수 있습니다.
어제 하루 마지막 때 보다 느끼다 다르다|어제 일정을 마무리하며 바라 본 월영교와는 사뭇 다른 느낌의 월영교.
다리 가운데 정자 곳 안동댐 모습 구경 보다|다리 가운데 앉아있는 정자에서 안동댐의 경치를 한눈에 담아보세요.
파파야 농장|파파야 농장
안동 대표 다양 체험|안동의 대표 이색체험
안동 지역 열대 과일 파파야 자라다|열대과일 파파야, 안동에서도 자라고 있어요.
보통 때 아이 직접 경험 어렵다 새롭다 경험 원하다 만약?|아이들이 평소에 접해보지 못한 새로운 체험을 찾는다면,
문화 도시 안동 지역 파파야 농장 체험 역사 미래 합 경험 가능|역사와 미래가 공존하는 문화도시 안동에서 파파야 농장 체험을 해 보세요.
선비순례길|선비순례길
물 걷다 느끼다|물 위를 걷는 느낌
자연 깨끗하다 길 곳 안동호 멋있다 구경 또 유교 문화 다양 즐기다 가능|안동호의 절경과 다양한 유교 문화 유적을 함께 즐길 수 있는 자연 친화적인 탐방로,
안동 선비 순례길 구경 때 물 걷다 가능 길 직접 걷다 기분 즐기다 좋다|안동 선비 순례길 코스 내에 물 위를 걸을 수 있는 선성수상길은 천천히 걸어보는 것만으로도 힐링이 될 산책로입니다.
예끼 마을|예끼마을
재능 많다 기준 좋다 여행 곳|”끼”많은 힐링 여행지
예술 사람 재능 많다 곳 이름 예끼 마을 음악 그림 가득 있다 곳|예술인의 끼가 가득한 마을, 예끼마을은 음악과 그림, 문학이 가득한 정겨운 마을이에요.
곳곳 아름답다 벽화 또 공방 다양 보다 추억 즐기다 좋다|곳곳에 그려져 있는 아름다운 벽화와 다양한 공방들을 둘러보는 것 만으로도 즐거운 추억을 만들 수 있답니다.
차 돕다 타다 출발|픽업 및 이동
곳 따르다 다르다|위치에 따라 상이
결정 곳 차 돕다 타다 후 안동 출발|지정된 장소에서 픽업 후 안동으로 이동
점심 식사|점심식사
1시간 아마|1시간 소요 예정
여행 지역 곳 방식 식사|현지식 식사
하회 마을|하회마을
1시간 아마|1시간 소요 예정
전통 가득 하회 마을 구경 보다|전통이 가득한 하회마을 둘러보기
탈 만들다 체험|탈만들기 체험
1시간 15분 아마|1시간 15분 소요 예정
탈 직접 만들다 체험|나만의 탈 직접 만들어보기
월영교|월영교
30분 어머|30분 소요 예정
월영교 곳 밤 모습 보다|월영교 야경 감상하기
2일차|2일차
아침 식사|아침식사
오전 8:00시 아마|오전 8:00시 예정
호텔 조식 식사|호텔조식 식사
월영교|월영교
30분 아마|30분 소요 예정
오전 월영교 모습 보다|오전에 감상해보는 월영교의 모습
파파야 농장|파파야 농장
1시간 아마|1시간 소요 예정
보통 때 직접 경험 어렵다 파파야 농장 체험 가능|평소에 접해보기 어려웠던 열대과일인 파파야 농장 체험하기
점심 식사|점심식사
1시간 아마|1시간 소요 예정
여행 지역 곳 방식 식사|현지식 식사
장부당|장부당
1시간 소요 예정|1시간 소요 예정
예술 사람 많다 마을 보다 카페 곳 커피 마시다 휴식|예술인의 끼가 가득한 마을을 보며 카페에서 휴식
차 돕다 내리다 해산|드랍오프 및 해산
곳 따르다 다르다|위치에 따라 상이
차 운전 안전 집 도착|집으로 안전하게 차량 이동
담당자|담당자
부장 김찬중|부장 김찬중
어린이 보호 여행 창의력 향상 또 자아 탐색 돕다 있다|어린이 돌봄 여행 코스는 창의력 향상과 자아 탐색에 도움이 될 수 있도록 구성하였으며
또 아이 보호 전문 사람 인솔|전문 돌봄이가 아이들을 인솔할 예정입니다.
어르신 보호 여행 활동 강도 힘들다 아니다 모두 여행 즐기다 가능|또한 어르신 돌봄 여행 코스는 활동 강도가 높지 않아서 누구나 여행을 즐길 수 있도록 구성하였습니다.
상담 자세하다 원하다 사람 02-719-6811 연락 부탁|자세한 상담을 원하시는 분들은 02-719-6811으로 문의 바랍니다.
울릉도 깨끗하다 곳 구경 또 맛있다 음식 먹다 여행|청정 자연에서 즐기는 울릉도 미식 여행
울릉도 곳 여행 사람 인 중|여행객들 사이에 뜨고 있는 울릉도 여행!
지금 해외 여행 어렵다 대신 한국 여행 특히 섬 여행 관심 증가 중|해외여행이 어려워진 요즘, 국내 여행, 특히 섬 여행에 대한 관심이 증가하고 있습니다.
아이 함께 울릉도 가족 여행 가다|아이와 함께 울릉도로 가족 여행을 떠나보세요!
